,1,2,3,4,5,6,7
0,191204318.0,,,,,,
1,29424640346.0,,,,,,
2,198489636.0,,,,,,
3,7067378.0,,,,,,
4,59821256.0,,,,,,
5,13386304.0,,,,,,
6,176288371.0,,,,,,
7,138189021.0,,,,,,
8,129640547.0,,,,,,
9,329670660.0,,,,,,
10,10248336459.0,,,,,,
11,364687083.0,,,,,,
12,34277560309.0,,,,,,
13,312300542.0,,,,,,
14,5057399732.0,,,,,,
15,178284351.0,,,,,,
16,21009110.0,,,,,,
17,2359841570.0,,,,,,
18,98214867.0,,,,,,
19,359885413.0,,,,,,
20,77121110.0,,,,,,
21,624776965.0,,,,,,
22,16734684.0,,,,,,
23,1574244607.0,,,,,,
24,115234017.0,,,,,,
25,57033676.0,,,,,,
26,10423957.0,,,,,,
27,6989251777.0,,,,,,
28,13473567.0,,,,,,
29,55947828680.0,,,,,,
30,10760762.0,,,,,,
31,946774594.0,,,,,,
32,103248224.0,,,,,,
33,,,,,,,23404651.0
34,,,,,,,20291349.0
35,167468453.0,,,,,,
36,4066801995.0,,,,,,
37,581621790640.0,,,,,,
38,336391497.0,,,,,,
39,,,,,,12048759004.0,
40,,,,,,1206059665.0,
41,,,,,,,1206059665.0
42,79774132.0,,,,,,
43,58911699432.0,,,,,,
44,1996743038.0,,,,,,
45,45240509.0,,,,,,
46,8304685283.0,,,,,,
47,4342425421.0,,,,,,
48,97864139.0,,,,,,
49,274648144.0,,,,,,
50,21930544.0,,,,,,
51,1200684890.0,,,,,,
52,855412.0,,,,,,
53,13775023.0,,,,,,
54,2843085.0,,,,,,
55,1076610953.0,,,,,,
56,8976005793.0,,,,,,
57,100000000000.0,,,,,,
58,54645479.0,,,,,,
59,138924815.0,,,,,,
60,65689403.0,,,,,,
61,421158646.0,,,,,,
62,8219155195.0,,,,,,
63,388912389.0,,,,,,
64,32365185.0,,,,,,
65,1616039102911.0,,,,,,
66,2860585.0,,,,,,
67,443199235.0,,,,,,
68,15759141480.0,,,,,,
69,26780855.0,,,,,,
70,165482519.0,,,,,,
71,538819897.0,,,,,,
72,362726126.0,,,,,,
73,6242447.0,,,,,,
74,657557910.0,,,,,,
75,279498691.0,,,,,,
76,987711658.0,,,,,,
77,140358422.0,,,,,,
78,116005356.0,,,,,,
79,27424824.0,,,,,,
80,93153626.0,,,,,,
81,78569380.0,,,,,,
82,144880703.0,,,,,,
83,51395190.0,,,,,,
84,151052218.0,,,,,,
85,,,,,,,306401749.0
86,,,,,,,52508390.0
87,,,,,,342898694.0,
88,,,,,,2784229.0,
89,,,,,,390112204.0,
90,,,,,,,966773138.0
91,,,,,,191076616.0,
92,,,,,,,256855634.0
93,16923755.0,,,,,,
94,15869484790.0,,,,,,
95,100085582466.0,,,,,,
96,877312984.0,,,,,,
97,49335593982.0,,,,,,
98,,,,,,,752702336.0
99,,,,,,380946648.0,
100,,,,,,,1375414212.0
101,,,,,,,223355458.0
102,,,,,,,27695986850.0
103,,,,,,,96854131.0
104,,,,,,,248351033.0
105,,,,,,,380946648.0
106,,,,,,,2313423236.0
107,,,,,,,7096326.0
108,3212556408.0,,,,,,
109,15117646.0,,,,,,
110,61187223.0,,,,,,
111,11312304.0,,,,,,
112,568493254.0,,,,,,
113,101842413.0,,,,,,
114,75663973.0,,,,,,
115,615301634.0,,,,,,
116,2767269.0,,,,,,
117,9996955.0,,,,,,
118,156709871.0,,,,,,
119,5504841218.0,,,,,,
120,27567922.0,,,,,,
121,73787434.0,,,,,,
122,,,,,,,1046837188.0
123,,,,,,47149566.0,
124,,,,,,494119157.0,
125,,,,,,147756639.0,
126,,,,,,2056905814.0,
127,,,,,,404463202.0,
128,,,,,,185875587.0,
129,,,,,,,2020494.0
130,,,,,,87450660.0,
131,,,,,,868509155.0,
132,118048746.0,,,,,,
133,73410865.0,,,,,,
134,910482818.0,,,,,,
135,36938190.0,,,,,,
136,102285426.0,,,,,,
137,488887431.0,,,,,,
138,2288531742.0,,,,,,
139,20063930.0,,,,,,
140,2805052631.0,,,,,,
141,2130431655.0,,,,,,
142,510499786.0,,,,,,
143,46356894.0,,,,,,
144,90938956.0,,,,,,
145,67624186.0,,,,,,
146,8047853475.0,,,,,,
147,77202014.0,,,,,,
148,1244839059.0,,,,,,
149,196863075.0,,,,,,
150,5092501967.0,,,,,,
151,239325703.0,,,,,,
152,3000000000.0,,,,,,
153,1683380269.0,,,,,,
154,130284359.0,,,,,,
155,,,,,,517970677.0,
156,,,,,,3396791243.0,
157,,,,,,62754226836.0,
158,,,,,,,9812505.0
159,37377053.0,,,,,,
160,1180274177.0,,,,,,
161,2058703752.0,,,,,,
162,116002971310.0,,,,,,
163,174895347.0,,,,,,
164,427787156.0,,,,,,
165,7170358.0,,,,,,
166,98715276.0,,,,,,
167,1426300806.0,,,,,,
168,17003038.0,,,,,,
169,19155440810.0,,,,,,
170,97115860.0,,,,,,
171,1529214862.0,,,,,,
172,928746601.0,,,,,,
173,20000000000.0,,,,,,
174,3486646.0,,,,,,
175,20876925.0,,,,,,
176,33447453189.0,,,,,,
177,68263203.0,,,,,,
178,170116259.0,,,,,,
179,21529475902.0,,,,,,
180,268778248.0,,,,,,
181,5722357889.0,,,,,,
182,567450767.0,,,,,,
183,176961830.0,,,,,,
184,154552329.0,,,,,,
